course_code,course_name,professor,department,semester,year,lecture_time,classroom,lecture_type,section,course_number,credit
"SWCE100003","SW융합 캡스톤디자인","고진욱,정길언","소프트웨어융합교육원","2학기","3","월11,12,13,화11,12,13","창의혁신관(306),창의혁신관(306)","실습","01","2026100433","3"
"SWCE100016","가상데이터 기반 머신러닝","고진욱","소프트웨어융합교육원","2학기","3","화1,2,3,4","창의혁신관(306)","이론실습","01","2026100434","3"
"SWCE100005","데이터사이언스 개론","이정민","소프트웨어융합교육원","2학기","3","수1,2,3,4","창의혁신관(306)","이론실습","01","2026100438","3"
"SWCE100006","드론 코딩","윤성재","소프트웨어융합교육원","2학기","3","화1,2,3,4","창의혁신관(307)","이론실습","01","2026100436","3"
"SWCE100013","인공지능 개론","윤성재","소프트웨어융합교육원","2학기","3","목6,7,8,9","창의혁신관(307)","이론실습","01","2026100435","3"
"SWCE100014","인공지능 프로그래밍","이정민","소프트웨어융합교육원","2학기","3","월6,7,8,9","창의혁신관(306)","이론실습","01","2026100437","3"
"PROJ1109","공학설계입문","","신소재공학과","2학기","1","","","이론실습","01","2026101206","3"
"GUID100002","진로설계1(자기이해와 대학생활)","","신소재공학과","2학기","1","","","이론","01","2026101214","1"
"MSAE2101","결정구조학","","신소재공학과","2학기","2","","","이론","01","2026101249","3"
"MSAE2102","공업수학(1)","","신소재공학과","2학기","2","","","이론","01","2026101230","3"
"MSAE2104","기초실험(1)","","신소재공학과","2학기","2","","","실습","01","2026101224","2"
"MSAE2106","물리화학","","신소재공학과","2학기","2","","","이론","01","2026101238","3"
"MSAE1103","재료과학(1)","","신소재공학과","2학기","2","","","이론","01","2026101219","3"
"MSAE2110","재료전자물성론","","신소재공학과","2학기","2","","","이론","01","2026101244","3"
"MSAE350001","미래 신소재 및 최적 설계","","신소재공학과","2학기","3","","","이론","01","2026101265","3"
"MSAE3311","상변태론","","신소재공학과","2학기","3","","","이론","01","2026101268","3"
"MSAE350014","소재과학의 최근 발전","","신소재공학과","2학기","3","","","실습","01","2026101275","1"
"MSAE350007","신소재강도학","","신소재공학과","2학기","3","","","이론","01","2026101262","3"
"MSAE350015","신소재공정실험","","신소재공학과","2학기","3","","","실습","01","2026101276","2"
"MSAE350017","에너지소자실험","","신소재공학과","2학기","3","","","실습","01","2026101278","2"
"MSAE3317","응고및결정성장","","신소재공학과","2학기","3","","","이론","01","2026101271","3"
"MSAE350008","이차전지 재료의 이해","","신소재공학과","2학기","3","","","이론","01","2026101273","3"
"MSAE350010","재료미세조직학","","신소재공학과","2학기","3","","","이론","01","2026101259","3"
"MSAE3319","전공영어","","신소재공학과","2학기","3","","","이론","01","2026101274","3"
"MSAE350018","전자소재분석실험","","신소재공학과","2학기","3","","","실습","01","2026101277","2"
"MSAE3323","표면가공학","","신소재공학과","2학기","3","","","이론","01","2026101272","3"
"MSAE4305","나노부품공학","","신소재공학과","2학기","4","","","이론","01","2026101298","3"
"MSAE4307","물질이동","","신소재공학과","2학기","4","","","이론","01","2026101296","3"
"MSAE4310","박막 및 나노표면공학","","신소재공학과","2학기","4","","","이론","01","2026101287","3"
"MSAE450007","소재데이터와 인공지능","","신소재공학과","2학기","4","","","이론","01","2026101297","3"
"MSAE4101","신소재공학실험(2)","","신소재공학과","2학기","4","","","실습","04","2026101293","2"
"MSAE4315","신소재분석","","신소재공학과","2학기","4","","","이론","01","2026101290","3"
