course_code,course_name,credit,type,category,stage,is_required,area
"SWCE100003","SW융합 캡스톤디자인","3","MAJOR","일선","BASIC","false",""
"SWCE100016","가상데이터 기반 머신러닝","3","MAJOR","일선","BASIC","false",""
"SWCE100005","데이터사이언스 개론","3","MAJOR","일선","BASIC","false",""
"SWCE100006","드론 코딩","3","MAJOR","일선","BASIC","false",""
"SWCE100013","인공지능 개론","3","MAJOR","일선","BASIC","false",""
"SWCE100014","인공지능 프로그래밍","3","MAJOR","일선","BASIC","false",""
"PROJ1109","공학설계입문","3","MAJOR","특필","BASIC","false",""
"GUID100002","진로설계1(자기이해와 대학생활)","1","MAJOR","특필","BASIC","false",""
"MSAE2101","결정구조학","3","MAJOR","전필","BASIC","false",""
"MSAE2102","공업수학(1)","3","MAJOR","전필","BASIC","false",""
"MSAE2104","기초실험(1)","2","MAJOR","전필","BASIC","false",""
"MSAE2106","물리화학","3","MAJOR","전필","BASIC","false",""
"MSAE1103","재료과학(1)","3","MAJOR","전필","BASIC","false",""
"MSAE2110","재료전자물성론","3","MAJOR","전필","BASIC","false",""
"MSAE350001","미래 신소재 및 최적 설계","3","MAJOR","심필","ADVANCED","false",""
"MSAE3311","상변태론","3","MAJOR","심필","ADVANCED","false",""
"MSAE350014","소재과학의 최근 발전","1","MAJOR","심선","ADVANCED","false",""
"MSAE350007","신소재강도학","3","MAJOR","심필","ADVANCED","false",""
"MSAE350015","신소재공정실험","2","MAJOR","심선","ADVANCED","false",""
"MSAE350017","에너지소자실험","2","MAJOR","심선","ADVANCED","false",""
"MSAE3317","응고및결정성장","3","MAJOR","심선","ADVANCED","false",""
"MSAE350008","이차전지 재료의 이해","3","MAJOR","심선","ADVANCED","false",""
"MSAE350010","재료미세조직학","3","MAJOR","심필","ADVANCED","false",""
"MSAE3319","전공영어","3","MAJOR","심선","ADVANCED","false",""
"MSAE350018","전자소재분석실험","2","MAJOR","심선","ADVANCED","false",""
"MSAE3323","표면가공학","3","MAJOR","심선","ADVANCED","false",""
"MSAE4305","나노부품공학","3","MAJOR","심선","ADVANCED","false",""
"MSAE4307","물질이동","3","MAJOR","심선","ADVANCED","false",""
"MSAE4310","박막 및 나노표면공학","3","MAJOR","심필","ADVANCED","false",""
"MSAE450007","소재데이터와 인공지능","3","MAJOR","심선","ADVANCED","false",""
"MSAE4101","신소재공학실험(2)","2","MAJOR","심선","ADVANCED","false",""
"MSAE4315","신소재분석","3","MAJOR","심필","ADVANCED","false",""
"MSAE4317","에너지변환공학","3","MAJOR","심선","ADVANCED","false",""
"MSAE4318","용접금속학","3","MAJOR","심선","ADVANCED","false",""
"MSAE4322","재료성형및가공","3","MAJOR","심선","ADVANCED","false",""
"GUID400002","진로설계4(취업전략과 실전취업)","1","MAJOR","특필","BASIC","false",""
"PROJ4311","캡스톤디자인Ⅰ","2","MAJOR","특필","BASIC","false",""
"MSAE4331","회로 및 전자시스템","3","MAJOR","심선","ADVANCED","false",""
"CHEM210025","공업수학","3","MAJOR","전선","BASIC","false",""
"CHEM2103","물리화학(1)","3","MAJOR","전선","BASIC","false",""
"CHEM2105","분석화학","3","MAJOR","전선","BASIC","false",""
"CHEM2122","분석화학실험","2","MAJOR","전선","BASIC","false",""
"CHEM2108","에너지화학","3","MAJOR","전선","BASIC","false",""
"CHEM2109","유기화학(1)","3","MAJOR","전선","BASIC","false",""
"CHEM2123","응용화학개론","2","MAJOR","전선","BASIC","false",""
"CHEM2113","인체생리학","3","MAJOR","전선","BASIC","false",""
"CHEM2114","화공기초실험(1)","2","MAJOR","전선","BASIC","false",""
"CHEM2118","화공양론(1)","3","MAJOR","전선","BASIC","false",""
"CHEM2120","화공응용화학개론","3","MAJOR","전선","BASIC","false",""
"CHEM3101","고분자공학","3","MAJOR","전선","BASIC","false",""
"CHEM3105","나노융합소재","3","MAJOR","전선","BASIC","false",""
"CHEM3106","단백질공학","3","MAJOR","전선","BASIC","false",""
"CHEM3107","무기화학(1)","3","MAJOR","전선","BASIC","false",""
"CHEM3108","무기화학실험","2","MAJOR","전선","BASIC","false",""
"CHEM3110","반응공학(1)","3","MAJOR","전선","BASIC","false",""
"CHEM3111","분자세포생물학(2)","3","MAJOR","전선","BASIC","false",""
"CHEM3112","생명공학실험","2","MAJOR","전선","BASIC","false",""
"CHEM3114","생화학(2)","3","MAJOR","전선","BASIC","false",""
"CHEM3115","유기공업화학","3","MAJOR","전선","BASIC","false",""
"CHEM3116","유체역학","3","MAJOR","전선","BASIC","false",""
"CHEM3119","화공수학","3","MAJOR","전선","BASIC","false",""
"CHEM3121","화공열역학(1)","3","MAJOR","전선","BASIC","false",""
"CHEM3123","화학공학실험(1)","2","MAJOR","전선","BASIC","false",""
"CHEM4302","고분자화학","3","MAJOR","심선","ADVANCED","false",""
"CHEM4101","공정제어","3","MAJOR","전선","BASIC","false",""
"CHEM4309","나노재료과학","3","MAJOR","심선","ADVANCED","false",""
"CHEM4311","분리공정","3","MAJOR","심선","ADVANCED","false",""
"CHEM4312","생물공정공학","3","MAJOR","심선","ADVANCED","false",""
"CHEM4314","식품생명공학","3","MAJOR","심선","ADVANCED","false",""
"CHEM430030","신재생 에너지 화학공학개론","3","MAJOR","심선","ADVANCED","false",""
"CHEM4318","유기분광학","3","MAJOR","심선","ADVANCED","false",""
"PROJ4103","캡스톤디자인","3","MAJOR","특필","BASIC","false",""
"CHEM4319","화장품학","3","MAJOR","심선","ADVANCED","false",""
"IMEN210003","경제성공학","3","MAJOR","전선","BASIC","false",""
"IMEN210002","공업통계","3","MAJOR","전필","BASIC","false",""
"IMEN3203","기초 3D프린팅","3","MAJOR","심선","ADVANCED","false",""
"IMEN210001","이산수학","3","MAJOR","전필","BASIC","false",""
"OMNI2001","인공지능빅데이터개론","1","MAJOR","특선","BASIC","false",""
"IMEN3119","인지공학개론","3","MAJOR","전선","BASIC","false",""
"IMEN3120","작업 설계 및 측정","3","MAJOR","전필","BASIC","false",""
"IMEN200001","제조공학의기초","3","MAJOR","전선","BASIC","false",""
"IMEN310026","공급사슬관리(SCM)","3","MAJOR","전선","BASIC","false",""
"IMEN3106","기초경영과학","3","MAJOR","전필","BASIC","false",""
"IMEN310027","데이터베이스","3","MAJOR","전필","BASIC","false",""
"IMEN320018","마케팅과 기술혁신","3","MAJOR","심선","ADVANCED","false",""
"IMEN310028","생산운영관리","3","MAJOR","전선","BASIC","false",""
